File path,Package,Method,CSEC
.\main\java\org\jfree\chart\labels\BoxAndWhiskerToolTipGenerator.java, org.jfree.chart.labels, BoxAndWhiskerToolTipGenerator, 33
.\main\java\org\jfree\chart\labels\BoxAndWhiskerXYToolTipGenerator.java, org.jfree.chart.labels, BoxAndWhiskerXYToolTipGenerator, 36
.\main\java\org\jfree\chart\labels\BubbleXYItemLabelGenerator.java, org.jfree.chart.labels, BubbleXYItemLabelGenerator, 52
.\main\java\org\jfree\chart\labels\CategoryItemLabelGenerator.java, org.jfree.chart.labels, CategoryItemLabelGenerator, 52
.\main\java\org\jfree\chart\labels\CategorySeriesLabelGenerator.java, org.jfree.chart.labels, CategorySeriesLabelGenerator, 16
.\main\java\org\jfree\chart\labels\CategoryToolTipGenerator.java, org.jfree.chart.labels, CategoryToolTipGenerator, 44
.\main\java\org\jfree\chart\labels\CrosshairLabelGenerator.java, org.jfree.chart.labels, CrosshairLabelGenerator, 8
.\main\java\org\jfree\chart\labels\CustomXYToolTipGenerator.java, org.jfree.chart.labels, CustomXYToolTipGenerator, 13
.\main\java\org\jfree\chart\labels\FlowLabelGenerator.java, org.jfree.chart.labels, FlowLabelGenerator, 9
.\main\java\org\jfree\chart\labels\HighLowItemLabelGenerator.java, org.jfree.chart.labels, HighLowItemLabelGenerator, 38
.\main\java\org\jfree\chart\labels\IntervalCategoryItemLabelGenerator.java, org.jfree.chart.labels, IntervalCategoryItemLabelGenerator, 35
.\main\java\org\jfree\chart\labels\IntervalCategoryToolTipGenerator.java, org.jfree.chart.labels, IntervalCategoryToolTipGenerator, 32
.\main\java\org\jfree\chart\labels\IntervalXYItemLabelGenerator.java, org.jfree.chart.labels, IntervalXYItemLabelGenerator, 14
.\main\java\org\jfree\chart\labels\IntervalXYToolTipGenerator.java, org.jfree.chart.labels, IntervalXYToolTipGenerator, 11
.\main\java\org\jfree\chart\labels\ItemLabelAnchor.java, org.jfree.chart.labels, ItemLabelAnchor, 133
.\main\java\org\jfree\chart\labels\ItemLabelPosition.java, org.jfree.chart.labels, ItemLabelPosition, 157
.\main\java\org\jfree\chart\labels\MultipleXYSeriesLabelGenerator.java, org.jfree.chart.labels, MultipleXYSeriesLabelGenerator, 34
.\main\java\org\jfree\chart\labels\package-info.java, org.jfree.chart.labels, package-info, 0
.\main\java\org\jfree\chart\labels\PieSectionLabelGenerator.java, org.jfree.chart.labels, PieSectionLabelGenerator, 17
.\main\java\org\jfree\chart\labels\PieToolTipGenerator.java, org.jfree.chart.labels, PieToolTipGenerator, 11
.\main\java\org\jfree\chart\labels\StandardCategoryItemLabelGenerator.java, org.jfree.chart.labels, StandardCategoryItemLabelGenerator, 52
.\main\java\org\jfree\chart\labels\StandardCategorySeriesLabelGenerator.java, org.jfree.chart.labels, StandardCategorySeriesLabelGenerator, 46
.\main\java\org\jfree\chart\labels\StandardCategoryToolTipGenerator.java, org.jfree.chart.labels, StandardCategoryToolTipGenerator, 80
.\main\java\org\jfree\chart\labels\StandardCrosshairLabelGenerator.java, org.jfree.chart.labels, StandardCrosshairLabelGenerator, 11
.\main\java\org\jfree\chart\labels\StandardFlowLabelGenerator.java, org.jfree.chart.labels, StandardFlowLabelGenerator, 21
.\main\java\org\jfree\chart\labels\StandardPieSectionLabelGenerator.java, org.jfree.chart.labels, StandardPieSectionLabelGenerator, 55
.\main\java\org\jfree\chart\labels\StandardPieToolTipGenerator.java, org.jfree.chart.labels, StandardPieToolTipGenerator, 41
.\main\java\org\jfree\chart\labels\StandardXYItemLabelGenerator.java, org.jfree.chart.labels, StandardXYItemLabelGenerator, 46
.\main\java\org\jfree\chart\labels\StandardXYSeriesLabelGenerator.java, org.jfree.chart.labels, StandardXYSeriesLabelGenerator, 47
.\main\java\org\jfree\chart\labels\StandardXYToolTipGenerator.java, org.jfree.chart.labels, StandardXYToolTipGenerator, 82
.\main\java\org\jfree\chart\labels\StandardXYZToolTipGenerator.java, org.jfree.chart.labels, StandardXYZToolTipGenerator, 45
.\main\java\org\jfree\chart\labels\SymbolicXYItemLabelGenerator.java, org.jfree.chart.labels, SymbolicXYItemLabelGenerator, 36
.\main\java\org\jfree\chart\labels\XYItemLabelGenerator.java, org.jfree.chart.labels, XYItemLabelGenerator, 35
.\main\java\org\jfree\chart\labels\XYSeriesLabelGenerator.java, org.jfree.chart.labels, XYSeriesLabelGenerator, 30
.\main\java\org\jfree\chart\labels\XYToolTipGenerator.java, org.jfree.chart.labels, XYToolTipGenerator, 88
.\main\java\org\jfree\chart\labels\XYZToolTipGenerator.java, org.jfree.chart.labels, XYZToolTipGenerator, 4
.\main\java\org\jfree\chart\legend\LegendGraphic.java, org.jfree.chart.legend, LegendGraphic, 95
.\main\java\org\jfree\chart\legend\LegendItem.java, org.jfree.chart.legend, LegendItem, 280
.\main\java\org\jfree\chart\legend\LegendItemBlockContainer.java, org.jfree.chart.legend, LegendItemBlockContainer, 25
.\main\java\org\jfree\chart\legend\LegendItemCollection.java, org.jfree.chart.legend, LegendItemCollection, 131
.\main\java\org\jfree\chart\legend\LegendItemSource.java, org.jfree.chart.legend, LegendItemSource, 14
.\main\java\org\jfree\chart\legend\LegendRenderingOrder.java, org.jfree.chart.legend, LegendRenderingOrder, 0
.\main\java\org\jfree\chart\legend\LegendTitle.java, org.jfree.chart.legend, LegendTitle, 162
.\main\java\org\jfree\chart\legend\package-info.java, org.jfree.chart.legend, package-info, 0
.\main\java\org\jfree\chart\legend\PaintScaleLegend.java, org.jfree.chart.legend, PaintScaleLegend, 135
.\main\java\org\jfree\chart\package-info.java, org.jfree.chart, package-info, 0
.\main\java\org\jfree\chart\plot\CategoryCrosshairState.java, org.jfree.chart.plot, CategoryCrosshairState, 15
.\main\java\org\jfree\chart\plot\CategoryMarker.java, org.jfree.chart.plot, CategoryMarker, 73
.\main\java\org\jfree\chart\plot\CategoryPlot.java, org.jfree.chart.plot, CategoryPlot, 976
.\main\java\org\jfree\chart\plot\CenterTextMode.java, org.jfree.chart.plot, CenterTextMode, 9
.\main\java\org\jfree\chart\plot\CombinedDomainCategoryPlot.java, org.jfree.chart.plot, CombinedDomainCategoryPlot, 114
.\main\java\org\jfree\chart\plot\CombinedDomainXYPlot.java, org.jfree.chart.plot, CombinedDomainXYPlot, 133
.\main\java\org\jfree\chart\plot\CombinedRangeCategoryPlot.java, org.jfree.chart.plot, CombinedRangeCategoryPlot, 99
.\main\java\org\jfree\chart\plot\CombinedRangeXYPlot.java, org.jfree.chart.plot, CombinedRangeXYPlot, 121
.\main\java\org\jfree\chart\plot\compass\ArrowNeedle.java, org.jfree.chart.plot.compass, ArrowNeedle, 18
.\main\java\org\jfree\chart\plot\compass\CompassPlot.java, org.jfree.chart.plot.compass, CompassPlot, 75
